"","Ob","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Age","Age_new","TotalArea2","BsmtFinSF1_New","Neighborhood_Class","TotalArea2_Transformed","Age_new_Transformed","LotArea_Transformed","BsmtFinSF1_New_Transformed"
"249",249,30,"RM",60,7200,"Pave","No Alley","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,8,1940,1950,"Gable","CompShg","VinylSd","VinylSd","Stone",279,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,808,808,"GasA","Ex","Y","SBrkr",1072,0,0,1072,0,0,1,0,2,1,"TA",5,"Typ",2,"Gd","Detchd",1940,"Unf",2,379,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,5,2007,"WD","Normal",112227.7566,67,67,3610,1,"low",7.75134024173879,4.06154810044568,8.88183630500415,1
"250",250,20,"RL",60,8430,"Pave","No Alley","Reg","HLS","Inside","Mod","CollgCr","Norm","Norm","1Fam","1Story",5,5,1978,1978,"Gable","CompShg","HdBoard","HdBoard","BrkFace",136,"TA","TA","CBlock","Gd","TA","No","Rec",616,"Unf",0,424,1040,"GasA","TA","Y","SBrkr",1040,0,0,1040,0,0,2,0,3,1,"TA",5,"Typ",0,"Not Applicable","Not Applicable",2004,"Not Applicable",0,0,"Not Applicable","Not Applicable","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,8,2009,"WD","Normal",128052.5116,31,31,3256,616,"high",7.55389770057474,3.14138065239139,9.0395520509959,4.98190197534854
"251",251,20,"RL",95,13618,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Timber","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",198,"Gd","TA","PConc","Ex","Gd","Av","GLQ",1350,"Unf",0,378,1728,"GasA","Ex","Y","SBrkr",1960,0,0,1960,1,0,2,0,3,1,"Gd",8,"Typ",2,"Gd","Attchd",2005,"Fin",3,714,"TA","TA","Y",172,38,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,11,2006,"New","Partial",304318.8215,1,1,6560,1350,"high",8.99965704486934,1,9.51914772604291,6.06154651402987
"252",252,20,"RL",60,8428,"Pave","No Alley","IR2","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,7,1994,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","Gd","No","GLQ",420,"Unf",0,570,990,"GasA","Ex","Y","SBrkr",990,0,0,990,1,0,1,0,3,1,"TA",5,"Typ",0,"Not Applicable","Detchd",1995,"Unf",1,384,"TA","TA","Y",256,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2007,"WD","Normal",142613.2895,13,13,3354,420,"high",7.61010702567848,2.35133468772076,9.03931477492408,4.52701905583787
"253",253,120,"RL",42,4235,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","TwnhsE","1Story",5,5,1984,1984,"Gable","CompShg","HdBoard","HdBoard","BrkFace",149,"Gd","TA","CBlock","Gd","TA","Mn","GLQ",552,"ALQ",393,104,1049,"GasA","TA","Y","SBrkr",1049,0,0,1049,1,0,2,0,2,1,"Gd",5,"Typ",0,"Not Applicable","Attchd",1984,"Fin",1,266,"TA","TA","Y",0,105,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,2,2009,"WD","Normal",142985.3603,25,25,3562,552,"low",7.72544453384445,2.92401773821287,8.35113860708615,4.84713113593406
"254",254,50,"C (all)",105,8470,"Pave","No Alley","IR1","Lvl","Corner","Gtl","IDOTRR","Feedr","Feedr","1Fam","1.5Fin",3,2,1915,1982,"Hip","CompShg","Plywood","Plywood","None",0,"Fa","Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,1013,1013,"GasA","TA","N","SBrkr",1013,0,513,1526,0,0,1,0,2,1,"Fa",6,"Typ",0,"Not Applicable","Not Applicable",1895,"Not Applicable",0,0,"Not Applicable","Not Applicable","N",0,0,156,0,0,0,"Not Applicable","MnPrv","No misc feature",0,10,2009,"ConLD","Abnorml",88801.03064,94,94,3552,1,"low",7.72001669059111,4.54683594377634,9.0442857876461,1
"255",255,20,"RL",100,18494,"Pave","No Alley","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1324,1324,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2005,"Fin",2,430,"TA","TA","Y",36,23,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,1,2010,"WD","Normal",170087.6948,5,5,4402,1,"middle",8.14540174955131,1.7099759466767,9.82520163413758,1
"256",256,20,"RL",60,12450,"Pave","No Alley","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",836,"Unf",0,278,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,2,0,3,1,"Gd",6,"Typ",0,"Not Applicable","Detchd",2004,"Unf",2,576,"TA","TA","Y",0,42,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2009,"WD","Normal",169983.3018,6,6,3918,836,"middle",7.91163253811218,1.81712059283214,9.42947590189285,5.37714279051635
"257",257,30,"RL",130,8854,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",6,6,1916,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"Grav","Fa","N","FuseF",952,0,0,952,0,0,1,0,2,1,"Fa",4,"Typ",1,"Gd","Detchd",1916,"Unf",1,192,"Fa","Po","P",0,98,0,0,40,0,"Not Applicable","No Fence","No misc feature",0,5,2009,"WD","Normal",124856.123,93,93,3048,1,"low",7.4302553769954,4.53065489608349,9.08862461329209,1
"258",258,70,"RM",60,10560,"Pave","No Alley","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,7,1922,1994,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Fa","TA","No","Rec",283,"Unf",0,455,738,"GasA","Ex","Y","SBrkr",868,602,0,1470,0,0,1,1,2,1,"TA",6,"Min1",0,"Not Applicable","Detchd",1970,"Unf",2,624,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2010,"WD","Normal",141628.2061,88,88,4302,283,"low",8.09874270039655,4.44796018113863,9.26482855726025,4.10153676580629
"259",259,60,"RL",68,8935,"Pave","No Alley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",95,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,831,831,"GasA","Ex","Y","SBrkr",831,829,0,1660,0,0,2,1,3,1,"Gd",7,"Typ",0,"Not Applicable","Attchd",2002,"RFn",2,493,"TA","TA","Y",144,68,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2009,"WD","Normal",199069.5134,7,7,4739,1,"high",8.29701121597307,1.91293118277239,9.09773142759353,1
"260",260,60,"FV",65,8127,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",410,"Unf",0,402,812,"GasA","Ex","Y","SBrkr",812,841,0,1653,1,0,2,1,3,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2003,"RFn",2,628,"TA","TA","Y",0,45,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2009,"WD","Normal",206165.4773,6,6,4746,410,"high",8.30007340922954,1.81712059283214,9.0029471307532,4.49982852243467
"261",261,50,"RL",45,8248,"Pave","Grvl","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,7,1918,1950,"Gable","CompShg","Stucco","Stucco","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,686,686,"GasW","Gd","Y","SBrkr",686,564,0,1250,0,1,1,1,3,1,"Fa",7,"Typ",0,"Not Applicable","Detchd",1955,"Unf",1,280,"TA","TA","P",207,0,96,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2006,"WD","Normal",120149.121,88,88,3466,1,"low",7.67285762399773,4.44796018113863,9.0177260256968,1
"262",262,120,"RL",61,7658,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,2,2010,"WD","Normal",324045.2488,5,5,6244,456,"very high",8.88926234625538,1.7099759466767,8.94350613203724,4.62105577807308
"263",263,50,"RM",50,6000,"Pave","No Alley","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",3,7,1948,2002,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",331,"Unf",0,318,649,"GasA","Ex","Y","SBrkr",679,504,0,1183,0,0,1,1,2,1,"TA",6,"Typ",0,"Not Applicable","Detchd",1981,"Unf",1,308,"TA","TA","Y",0,176,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2007,"WD","Normal",123994.7604,59,59,3323,331,"low",7.59246127190184,3.89299641587326,8.69951474821019,4.2653728323161
"264",264,50,"RM",60,5400,"Pave","No Alley","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,6,1920,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"Fa","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,972,972,"GasA","Ex","Y","SBrkr",1044,0,436,1480,0,0,1,0,3,1,"TA",6,"Typ",0,"Not Applicable","Detchd",1920,"Unf",1,207,"Fa","TA","Y",0,0,176,0,0,0,"Not Applicable","No Fence","No misc feature",0,9,2009,"ConLI","Family",99782.55831,89,89,3703,1,"low",7.80078714967186,4.46474509558454,8.59415423255237,1
"265",265,90,"RL",60,10800,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",5,5,1987,1988,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","Gd","Gd","GLQ",1200,"Unf",0,0,1200,"GasA","TA","Y","SBrkr",1200,0,0,1200,3,0,3,0,3,1,"TA",5,"Typ",0,"Not Applicable","Not Applicable",1964,"Not Applicable",0,0,"Not Applicable","Not Applicable","Y",120,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2009,"WD","Alloca",183038.5401,22,22,3600,1200,"low",7.74596669241483,2.80203933065539,9.28730141311231,5.88566191276542
"266",266,80,"RL",56,8872,"Pave","No Alley","IR1","HLS","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"GasA","Gd","Y","SBrkr",754,630,0,1384,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1997,"Fin",2,390,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2007,"WD","Normal",146486.233,10,10,3542,1,"middle",7.71457737439103,2.15443469003188,9.0906555290302,1
"267",267,20,"RL",70,8400,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,3,1957,1957,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",189,"Rec",661,628,1478,"GasA","Gd","Y","SBrkr",1478,0,0,1478,1,0,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",2,442,"TA","TA","Y",114,0,0,0,216,0,"Not Applicable","No Fence","No misc feature",0,6,2009,"WD","Normal",160287.4345,52,52,4876,189,"middle",8.35633657773455,3.73251115681725,9.0359869848314,3.70779275106734
"268",268,60,"RL",80,29959,"Pave","No Alley","IR2","Lvl","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,6,1994,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",595,"Unf",0,378,973,"GasA","Ex","Y","SBrkr",979,871,0,1850,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",1994,"Fin",2,467,"TA","TA","Y",168,98,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,1,2009,"WD","Normal",252015.6465,15,15,5140,595,"very high",8.46721874736561,2.46621207433047,10.307585059237,4.93888872473363
"269",269,50,"RL",57,7558,"Pave","No Alley","Reg","Bnk","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1.5Fin",6,6,1928,1950,"Gable","CompShg","BrkFace","Stone","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,896,896,"GasA","Gd","Y","SBrkr",1172,741,0,1913,0,0,1,1,3,1,"TA",9,"Typ",1,"TA","Detchd",1929,"Unf",2,342,"Fa","Fa","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2009,"WD","Normal",181082.8808,81,81,5064,1,"high",8.43574463213703,4.32674871092222,8.93036188390943,1
"270",270,50,"RL",85,159000,"Pave","No Alley","IR2","Low","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1.5Fin",6,7,1958,2006,"Gable","CompShg","Wd Sdng","HdBoard","BrkCmn",472,"Gd","TA","CBlock","Gd","TA","Gd","Rec",697,"Unf",0,747,1444,"GasA","Gd","Y","SBrkr",1444,700,0,2144,0,1,2,0,4,1,"Gd",7,"Typ",2,"TA","Attchd",1958,"Fin",2,389,"TA","TA","Y",0,98,0,0,0,0,"Not Applicable","No Fence","Shed",500,6,2007,"WD","Normal",281037.3985,49,49,6593,697,"high",9.01095392259841,3.65930571002297,11.9766594812024,5.13816675137039
"271",271,20,"RL",80,10400,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,5,1988,1988,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",102,"TA","TA","CBlock","Gd","TA","Av","GLQ",929,"Unf",0,916,1845,"GasA","Gd","Y","SBrkr",1872,0,0,1872,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1988,"Fin",2,604,"TA","TA","Y",197,39,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2006,"WD","Normal",245618.372,18,18,6295,929,"middle",8.90735853329294,2.6207413942089,9.24956108512946,5.52082433231273
"272",272,50,"RL",89,11792,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",4,5,1948,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,744,744,"GasA","Ex","N","FuseF",792,328,0,1120,0,0,1,0,2,1,"Fa",5,"Typ",0,"Not Applicable","Detchd",1956,"Unf",2,480,"TA","Fa","P",0,0,0,0,160,0,"Not Applicable","No Fence","No misc feature",0,6,2010,"WD","Abnorml",105751.1996,62,62,3464,1,"low",7.67175050938498,3.95789160968041,9.37517661442912,1
"273",273,160,"RM",24,1733,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Blueste","Norm","Norm","Twnhs","2Story",6,6,1980,1980,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,516,516,"GasA","TA","Y","SBrkr",516,516,0,1032,0,0,1,0,2,1,"TA",5,"Typ",1,"TA","Detchd",1980,"Unf",2,452,"TA","TA","Y",279,0,0,0,0,0,"Not Applicable","GdPrv","No misc feature",0,5,2009,"WD","Normal",126059.0729,29,29,3032,1,"middle",7.42048513183234,3.07231682568585,7.45760928971561,1
"274",274,160,"FV",24,2572,"Pave","No Alley","Reg","Lvl","FR2","Gtl","Somerst","Norm","Norm","Twnhs","2Story",7,5,1999,1999,"Hip","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","ALQ",604,"Unf",0,92,696,"GasA","Ex","Y","SBrkr",696,720,0,1416,1,0,2,1,3,1,"Gd",6,"Typ",0,"Not Applicable","Detchd",1999,"Unf",2,484,"TA","TA","Y",0,44,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,5,2010,"WD","Normal",159000.2215,11,11,4012,604,"high",7.95866511975799,2.22398009056932,7.85243908535751,4.9574601818763
"275",275,20,"RL",80,8480,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1963,1963,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",630,"Unf",0,340,970,"GasA","TA","Y","SBrkr",970,0,0,970,1,0,1,0,2,1,"TA",5,"Typ",0,"Not Applicable","Detchd",1996,"Unf",2,624,"TA","TA","Y",0,24,0,0,192,0,"Not Applicable","No Fence","No misc feature",0,7,2007,"WD","Normal",136547.6072,44,44,3534,630,"low",7.71021762279168,3.53034833532606,9.04546572878595,5.00997013923459
"276",276,20,"RL",64,6762,"Pave","No Alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",24,"Gd","TA","PConc","Gd","TA","Av","GLQ",686,"Unf",0,501,1187,"GasA","Ex","Y","SBrkr",1208,0,0,1208,1,0,2,0,2,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2006,"RFn",2,632,"TA","TA","Y",105,61,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,2,2010,"WD","Normal",209938.1104,4,4,4259,686,"high",8.0784289559319,1.5874010519682,8.81907398326783,5.11777311996317
"277",277,50,"RL",60,10836,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,5,1922,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,892,892,"GasA","Ex","Y","SBrkr",1254,182,0,1436,0,1,1,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1968,"Unf",4,1488,"Fa","TA","N",0,0,100,0,0,0,"Not Applicable","GdWo","No misc feature",0,6,2008,"WD","Normal",165747.0316,86,86,5252,1,"low",8.51297149813,4.4140049624421,9.29062920320499,1
"278",278,30,"RM",153,4118,"Pave","Grvl","IR1","Bnk","Corner","Mod","OldTown","Feedr","Norm","1Fam","1Story",4,4,1941,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,693,693,"Grav","Fa","N","FuseA",693,0,0,693,0,0,1,0,2,1,"Fa",4,"Typ",0,"Not Applicable","Not Applicable",1948,"Not Applicable",0,0,"Not Applicable","Not Applicable","N",0,20,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2006,"WD","Normal",56564.48047,65,65,2079,1,"low",6.75248491006918,4.02072575858906,8.32312288758773,1
"279",279,50,"RM",50,8600,"Pave","No Alley","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",6,6,1937,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,780,780,"GasA","TA","Y","SBrkr",780,596,0,1376,0,0,2,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1937,"Unf",1,198,"TA","TA","N",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2006,"WD","Normal",123582.1224,69,69,3730,1,"low",7.81496807021052,4.10156592970235,9.0595174822416,1
"280",280,120,"RL",60,8118,"Pave","No Alley","Reg","HLS","Inside","Gtl","StoneBr","PosN","PosN","TwnhsE","1Story",9,5,2007,2007,"Hip","CompShg","MetalSd","MetalSd","BrkFace",178,"Ex","TA","PConc","Ex","TA","Gd","GLQ",1034,"Unf",0,676,1710,"GasA","Ex","Y","SBrkr",1710,0,0,1710,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2007,"RFn",2,557,"TA","TA","Y",156,48,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2008,"WD","Normal",332014.6928,1,1,5865,1034,"very high",8.75118780476017,1,9.00183909739884,5.67061463878714
"281",281,20,"RL",69,9920,"Pave","No Alley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1969,1969,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",523,"Unf",0,448,971,"GasA","TA","Y","SBrkr",971,0,0,971,0,0,1,1,3,1,"TA",5,"Typ",1,"Po","Attchd",1969,"Unf",1,300,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,5,2006,"WD","Normal",132424.4052,37,37,3213,523,"high",7.52883330158621,3.33222185164595,9.20230820027892,4.78217453174375
"282",282,60,"RL",72,8229,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",22,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,752,752,"GasA","Ex","Y","SBrkr",752,752,0,1504,0,0,2,1,3,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2007,"Fin",2,440,"TA","TA","Y",100,32,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,12,2007,"New","Partial",163168.123,1,1,4222,1,"middle",8.06082619704536,1,9.01541977960571,1
"283",283,20,"RL",42,115149,"Pave","No Alley","IR2","Low","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1Story",7,5,1971,2002,"Gable","CompShg","Plywood","Plywood","Stone",351,"TA","TA","CBlock","Gd","TA","Gd","GLQ",1219,"Unf",0,424,1643,"GasA","TA","Y","SBrkr",1824,0,0,1824,1,0,2,0,2,1,"Gd",5,"Typ",2,"TA","Attchd",1971,"Unf",2,739,"TA","TA","Y",380,48,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2007,"WD","Normal",306036.3086,36,36,6381,1219,"high",8.93762618004166,3.30192724889463,11.6539822208863,5.90882225999329
"284",284,190,"C (all)",60,7200,"Pave","No Alley","Reg","Lvl","Corner","Gtl","OldTown","Norm","Norm","2fmCon","2.5Unf",6,6,1910,1998,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Rec",1046,"Unf",0,168,1214,"GasW","Ex","N","SBrkr",1260,1031,0,2291,0,1,2,0,4,2,"TA",9,"Typ",1,"Gd","Detchd",1900,"Unf",2,506,"TA","TA","Y",0,0,0,0,99,0,"Not Applicable","No Fence","No misc feature",0,11,2007,"WD","Normal",137893.0532,97,97,6302,1046,"low",8.90983373290194,4.59470089220704,8.88183630500415,5.68699597833447
"285",285,20,"RL",66,8978,"Pave","No Alley","IR1","Lvl","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1968,1968,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,948,948,"GasA","TA","Y","SBrkr",948,0,0,948,0,0,1,0,3,1,"TA",6,"Typ",0,"Not Applicable","Attchd",1968,"Unf",1,300,"TA","TA","Y",147,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,5,2007,"WD","Family",112177.8591,39,39,3144,1,"low",7.48808273695642,3.39121144301417,9.10253241934188,1
"286",286,20,"RL",99,11851,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1424,1424,"GasA","Ex","Y","SBrkr",1442,0,0,1442,0,0,2,0,3,1,"TA",5,"Typ",0,"Not Applicable","Attchd",1990,"RFn",2,500,"TA","TA","Y",0,34,0,508,0,0,"Not Applicable","No Fence","No misc feature",0,5,2009,"WD","Normal",184542.9652,19,19,4808,1,"middle",8.3270488946228,2.66840164872194,9.38016753118845,1
"287",287,20,"RL",66,12778,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1952,2003,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",658,"Unf",0,350,1008,"GasA","Ex","Y","FuseA",1008,0,0,1008,1,0,1,0,2,1,"TA",4,"Typ",0,"Not Applicable","Attchd",1952,"RFn",1,280,"TA","TA","Y",0,154,0,0,0,0,"Not Applicable","MnPrv","No misc feature",0,1,2006,"WD","Normal",131322.2761,54,54,3304,658,"middle",7.58158502246065,3.77976314968462,9.45548022116229,5.06473204392506
"288",288,180,"RM",21,1470,"Pave","No Alley","Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SFoyer",4,6,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","CBlock","Gd","TA","Av","GLQ",522,"Unf",0,108,630,"GasA","TA","Y","SBrkr",630,0,0,630,1,0,1,0,1,1,"TA",3,"Typ",0,"Not Applicable","Not Applicable",1970,"Not Applicable",0,0,"Not Applicable","Not Applicable","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,4,2006,"WD","Normal",90965.09492,36,36,1890,522,"low",6.59349150591463,3.30192724889463,7.29301767977278,4.77988695657039
"289",289,60,"FV",70,7000,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","CemntBd","CmentBd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",622,"Unf",0,304,926,"GasA","Ex","Y","SBrkr",1016,868,0,1884,1,0,2,1,3,1,"Ex",7,"Typ",1,"Ex","Attchd",2003,"RFn",2,581,"TA","TA","Y",0,35,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2009,"WD","Normal",224905.9688,6,6,5275,622,"high",8.52227641136274,1.81712059283214,8.85366542803745,4.99398916965985
